resume,serviceType,education,cType,numberOfShares,sex,salary,managerGroup,toco,labelList,numberOfSharesWithUnit,serviceCount,reportDate,shareUnit,name,logo,term,position,id,graphId,age,cid,company_name
"曾万辉先生,1970年出生,毕业于国防科技大学微波与毫米波技术专业,硕士学历,中国国籍,无境外居留权。1995年至2005年在北京新神剑经济技术发展有限公司担任市场部经理,2006年起在公司担任领导职务,现任长沙景嘉微电子股份有限公司董事长、总经理。此简介更新于2018-03-06",1,硕士,2,1460万,男,57.01万,1,10,[],1460万股,8,2018-03-06,股,曾万辉,,2015-03-19至2021-03-05,"董事长,董事,总经理",1967503960,7628734,50,7628734,长沙景嘉微电子股份有限公司
"喻丽丽女士,1968年出生,高中学历,中国国籍,无境外居留权。1988年至2006年历任广州市广空汽车配件经营部经理、北京新神剑经济技术发展公司办公室副主任,2006年起在北麦公司担任领导职务,现任长沙景嘉微电子股份有限公司副董事长。此简介更新于2018-03-06",1,高中,2,9847万,女,55.14万,1,8,"[{'type': 1, 'name': '大股东'}, {'type': 2, 'name': '实际控制人'}, {'type': 3, 'name': '最终受益人'}]",9847万股,7,2018-03-06,股,喻丽丽,,2015-03-19至2021-03-05,"副董事长,董事",1864220216,7628734,52,7628734,长沙景嘉微电子股份有限公司
"余圣发先生,1972年出生,毕业于国防科学技术大学信息与通信系统专业,硕士学历,中国国籍,无境外居留权。1996年至2006年在国防科学技术大学科研部担任讲师。2007年起在公司工作,现任长沙景嘉微电子股份有限公司常务副总经理、技术委员会委员。此简介更新于2020-05-19",1,硕士,2,191.4万,男,56.69万,1,1,[],191.4万股,1,2020-05-19,股,余圣发,,2020-05-19至2021-03-05,"董事,常务副总经理",1784521341,7628734,48,7628734,长沙景嘉微电子股份有限公司
"余小游先生,1969年9月出生,毕业于国防科技大学信息与通信工程专业,博士学历,副教授职称,中国国籍,无境外永久居留权,现任湖南大学副教授。此简介更新于2018-03-06",1,博士,2,,男,6.000万,1,3,[],0,3,2018-03-06,股,余小游,,2017-04-19至2021-03-05,独立董事,1784807323,7628734,51,7628734,长沙景嘉微电子股份有限公司
"赖湘军先生,1972年2月出生,毕业于湖南政法管理干部学院经济法专业,中央党校函授学院经济管理专业,本科学历,律师职称,中国国籍,无境外永久居留权。曾任中联重科股份有限公司工起事业部风控部主管,从事风险控制及公关危机处理。现任湖南善上律师事务所专职律师。此简介更新于2018-03-06",1,本科,2,,男,6.000万,1,1,[],0,1,2018-03-06,股,赖湘军,,2018-02-05至2021-03-05,独立董事,2188376281,7628734,48,7628734,长沙景嘉微电子股份有限公司
"伍志英女士,1984年出生,中国注册会计师,大专学历,中国国籍,无境外永久居留权。现任长沙华税税务师事务所有限公司财务经理。此简介更新于2018-04-02",1,大专,2,,女,6.000万,1,1,[],0,1,2018-04-02,股,伍志英,,2018-04-02至2021-03-05,独立董事,1777091407,7628734,36,7628734,长沙景嘉微电子股份有限公司
"赵烨,男,1980年出生,中国国籍,无境外永久居留权,硕士学历。2006年至2008年任北京挺立专利事务所(普通合伙)经理;2010年至2014年任华人文化产业投资基金投资经理;2014年10月至今任华芯投资管理有限责任公司投资二部副总经理;现任国芯科技董事、华芯投资管理有限责任公司投资二部副总经理、湖南国科微电子股份有限公司董事、赛莱克斯微系统科技(北京)有限公司董事、江苏芯盛智能科技有限公司董事、兆易创新董事、长沙景嘉微电子股份有限公司董事、北京赛微电子股份有限公司董事、瑞芯微电子股份有限公司董事。此简介更新于2019-02-15",1,硕士,2,,男,0,1,1,[],0,1,2019-02-15,股,赵烨,,2019-02-15至2021-03-05,董事,2194176003,7628734,40,7628734,长沙景嘉微电子股份有限公司
"顾菊香女士,1979年11月出生,毕业于湖南师范大学英语专业,本科学历,中南大学MBA在读。中国国籍,无境外永久居留权。现聘于湖南省对外科技交流中心。此简介更新于2018-03-06",1,硕士,2,,女,6.000万,2,1,[],0,1,2018-03-06,股,顾菊香,,2018-02-05至2021-03-05,监事会主席,2274303717,7628734,41,7628734,长沙景嘉微电子股份有限公司
"韩淑云女士,1956年3月出生,毕业于清华大学,硕士学历,中国国籍,无境外居留权。1971年至2003年先后在辽宁省康平县县委办公室、武汉钢铁公司、冶金工业部、中国技术进出口总公司、西班牙奇米赛尔公司上海公司工作,2003年至今在和易陶瓷(上海)有限公司担任执行董事。此简介更新于2018-03-06",1,硕士,2,,女,6.000万,2,1,[],0,1,2018-03-06,股,韩淑云,,2015-03-19至2021-03-05,监事,2270892075,7628734,64,7628734,长沙景嘉微电子股份有限公司
"陈怒兴先生,1969年出生,毕业于国防科技大学通信与电子系统专业,博士学历,副教授职称,中国国籍,无境外居留权。1998年至2008年在国防科技大学担任助理研究员、副教授;2009年起在公司工作,现为公司首席芯片专家、技术委员会委员。此简介更新于2018-02-23",1,博士,2,278.9万,男,32.39万,2,1,[],278.9万股,1,2018-02-23,股,陈怒兴,,2017-03-17至2021-03-05,职工监事,2344774690,7628734,51,7628734,长沙景嘉微电子股份有限公司
"郭海先生,1985年出生,毕业于中南林业科技大学,计算机科学与技术专业,本科学历,中国国籍,无境外居留权。2008年至今,先后担任公司产品管理部加固图卡平台经理、研发中心副主任、研发中心主任、总工程师。现任长沙景嘉微电子股份有限公司副总裁。此简介更新于2020-05-29",1,本科,2,,男,,3,1,[],0,1,2020-05-29,股,郭海,,2020-05-29至2021-03-05,副总裁,2226152684,7628734,35,7628734,长沙景嘉微电子股份有限公司
"罗竞成先生,1967年出生,毕业于湖南大学会计系,本科学历,湖南大学MBA,中国国籍,无境外居留权。1989年至2007年先后在深石化株洲塑胶公司担任会计主管,在株洲盛鑫冰晶石公司担任财务部经理。2008年起在公司工作,现任长沙景嘉微电子股份有限公司财务总监。此简介更新于2018-03-06",1,硕士,2,6万,男,43.28万,3,3,[],6万股,3,2018-03-06,股,罗竞成,,2015-03-19至2021-03-05,财务总监,2114285714,7628734,53,7628734,长沙景嘉微电子股份有限公司
"胡亚华先生,1969年出生,毕业于国防科学技术大学通信与电子系统专业,硕士学历,中国国籍,无境外居留权。1995年至2005年先后在国防科学技术大学电子技术系担任助教、讲师,在湖南中芯数字技术有限公司担任研发部经理。2006年起在公司担任领导职务,现任长沙景嘉微电子股份有限公司副总经理、技术委员会委员。此简介更新于2018-03-06",1,硕士,2,1336万,男,56.79万,3,2,[],1336万股,2,2018-03-06,股,胡亚华,,2015-03-19至2021-03-05,副总经理,2123889506,7628734,51,7628734,长沙景嘉微电子股份有限公司
"廖凯先生,1981年出生,毕业于湘潭大学,硕士学历,中国国籍,无境外居留权。2004年至2013年曾先后在湖南省公民信息管理局、长沙兴嘉生物工程股份有限公司工作。2013年3月至今任职于公司,现任长沙景嘉微电子股份有限公司董事会秘书。此简介更新于2018-03-06",1,硕士,2,4.5万,男,37.37万,3,1,[],4.5万股,1,2018-03-06,股,廖凯,,2015-03-19至2021-03-05,董事会秘书,1917297551,7628734,39,7628734,长沙景嘉微电子股份有限公司
